epoch 1, training...
batch No.1, time cost : 5.368793964385986, loss is : 2.3025664405204043
batch No.2, time cost : 5.507155656814575, loss is : 2.3024843485765287
batch No.3, time cost : 5.5174431800842285, loss is : 2.3024879925271224
batch No.4, time cost : 5.403933763504028, loss is : 2.302639694722782
batch No.5, time cost : 6.520166397094727, loss is : 2.302806219087975
batch No.6, time cost : 5.625035047531128, loss is : 2.302680637050835
batch No.7, time cost : 5.593700408935547, loss is : 2.3026275410189454
batch No.8, time cost : 5.4983744621276855, loss is : 2.3024370418558044
batch No.9, time cost : 5.543093204498291, loss is : 2.3025992483773052
batch No.10, time cost : 5.592835903167725, loss is : 2.302551978863289
batch No.11, time cost : 5.486032485961914, loss is : 2.302695666349865
batch No.12, time cost : 5.408771276473999, loss is : 2.302696534486786
batch No.13, time cost : 5.4073708057403564, loss is : 2.3025637106237227
batch No.14, time cost : 5.4084203243255615, loss is : 2.3025345719843244
batch No.15, time cost : 5.426612615585327, loss is : 2.30278256128425
batch No.16, time cost : 5.405301332473755, loss is : 2.3027653943283717
batch No.17, time cost : 5.424173593521118, loss is : 2.3025594151756748
batch No.18, time cost : 5.400491714477539, loss is : 2.302483080475257
batch No.19, time cost : 5.369023323059082, loss is : 2.3025804895914748
batch No.20, time cost : 5.411098957061768, loss is : 2.302761340849985
batch No.21, time cost : 5.46881103515625, loss is : 2.3024659750963865
batch No.22, time cost : 5.4387266635894775, loss is : 2.3027869398264382
batch No.23, time cost : 5.374301433563232, loss is : 2.3023942313631305
batch No.24, time cost : 5.455428600311279, loss is : 2.302746904487725
batch No.25, time cost : 5.377599477767944, loss is : 2.3024980196366327
batch No.26, time cost : 5.3805296421051025, loss is : 2.30253228885515
batch No.27, time cost : 5.380056619644165, loss is : 2.3026583823335782
batch No.28, time cost : 5.386479377746582, loss is : 2.302544654708764
batch No.29, time cost : 5.358256578445435, loss is : 2.3026673047910142
batch No.30, time cost : 5.399827480316162, loss is : 2.3025769267417737
batch No.31, time cost : 5.494621753692627, loss is : 2.302848188056195
batch No.32, time cost : 5.395237445831299, loss is : 2.3026165768338167
batch No.33, time cost : 5.379258394241333, loss is : 2.3025638090905316
batch No.34, time cost : 5.3458027839660645, loss is : 2.3025172473757682
batch No.35, time cost : 5.39058780670166, loss is : 2.3027005781351844
batch No.36, time cost : 5.36214804649353, loss is : 2.302562217829816
batch No.37, time cost : 5.390222787857056, loss is : 2.3027125097319434
batch No.38, time cost : 5.363723039627075, loss is : 2.3025462196777786
batch No.39, time cost : 6.035914897918701, loss is : 2.30256255143871
batch No.40, time cost : 5.777289390563965, loss is : 2.3024899946354003
batch No.41, time cost : 5.353321313858032, loss is : 2.3023679842195044
batch No.42, time cost : 5.373250722885132, loss is : 2.3028314012782176
batch No.43, time cost : 5.346725940704346, loss is : 2.302465293308409
batch No.44, time cost : 5.843682765960693, loss is : 2.3023487971326437
batch No.45, time cost : 6.260236501693726, loss is : 2.3025778397436385
batch No.46, time cost : 5.610834360122681, loss is : 2.3026455128159045
batch No.47, time cost : 5.544004440307617, loss is : 2.302633249342823
batch No.48, time cost : 5.531819581985474, loss is : 2.3026217265777538
batch No.49, time cost : 5.505110502243042, loss is : 2.302515830751803
batch No.50, time cost : 5.4212212562561035, loss is : 2.3024796965817864
batch No.51, time cost : 5.481783151626587, loss is : 2.3026523917096506
batch No.52, time cost : 5.327235698699951, loss is : 2.3025507454759966
batch No.53, time cost : 5.320669651031494, loss is : 2.302468911813454
batch No.54, time cost : 5.26718544960022, loss is : 2.302803584494407
batch No.55, time cost : 5.2891857624053955, loss is : 2.302583984621321
batch No.56, time cost : 5.313093423843384, loss is : 2.3026047043886653
batch No.57, time cost : 5.281246662139893, loss is : 2.30268062100747
batch No.58, time cost : 5.3871376514434814, loss is : 2.3025641003014155
batch No.59, time cost : 5.452225208282471, loss is : 2.302536609715742
batch No.60, time cost : 5.573732852935791, loss is : 2.302551168575042
batch No.61, time cost : 5.361529588699341, loss is : 2.302701941809856
batch No.62, time cost : 5.3817644119262695, loss is : 2.302647213804098
batch No.63, time cost : 5.4236860275268555, loss is : 2.302574482633875
batch No.64, time cost : 5.384251832962036, loss is : 2.3026904936044197
batch No.65, time cost : 5.342342853546143, loss is : 2.3024227730596025
batch No.66, time cost : 5.3741295337677, loss is : 2.3027569191225643
batch No.67, time cost : 5.382055997848511, loss is : 2.302799335823727
batch No.68, time cost : 5.3566930294036865, loss is : 2.3024658204386697
batch No.69, time cost : 5.382661819458008, loss is : 2.302654923061726
batch No.70, time cost : 5.35503077507019, loss is : 2.3025208696240695
batch No.71, time cost : 5.376801252365112, loss is : 2.3026307738802667
batch No.72, time cost : 5.361220359802246, loss is : 2.3026598862145184
batch No.73, time cost : 5.360039472579956, loss is : 2.302612118745709
batch No.74, time cost : 5.341810464859009, loss is : 2.3024730317128412
batch No.75, time cost : 5.3946826457977295, loss is : 2.302610425572209
batch No.76, time cost : 5.385788440704346, loss is : 2.3025704002807834
batch No.77, time cost : 5.387673377990723, loss is : 2.3027016863343124
batch No.78, time cost : 5.351292848587036, loss is : 2.3026471305315566
batch No.79, time cost : 5.379255056381226, loss is : 2.3026974035059022
batch No.80, time cost : 5.374140739440918, loss is : 2.3027249427358054
batch No.81, time cost : 5.33749794960022, loss is : 2.302609898510658
batch No.82, time cost : 5.376923322677612, loss is : 2.302607875538694
batch No.83, time cost : 5.369449138641357, loss is : 2.3025443526060485
batch No.84, time cost : 5.412975311279297, loss is : 2.3026245509064953
batch No.85, time cost : 5.384733200073242, loss is : 2.3026127021263347
batch No.86, time cost : 5.3543689250946045, loss is : 2.30258353262085
batch No.87, time cost : 5.544316530227661, loss is : 2.3024762720867162
batch No.88, time cost : 5.408202886581421, loss is : 2.302462990520695
batch No.89, time cost : 5.438977003097534, loss is : 2.30259155966767
batch No.90, time cost : 5.401439428329468, loss is : 2.3025058720045077
batch No.91, time cost : 5.475992679595947, loss is : 2.3024055535798915
batch No.92, time cost : 5.384050130844116, loss is : 2.302575080744455
batch No.93, time cost : 5.405200958251953, loss is : 2.302567016707002
batch No.94, time cost : 5.508719205856323, loss is : 2.3026060157117296
batch No.95, time cost : 5.676553010940552, loss is : 2.302543828806385
batch No.96, time cost : 5.699057102203369, loss is : 2.302646881298714
batch No.97, time cost : 5.968795299530029, loss is : 2.302612730062317
batch No.98, time cost : 5.812633752822876, loss is : 2.3026399392286026
batch No.99, time cost : 5.468116283416748, loss is : 2.302440488151222
batch No.100, time cost : 5.358061075210571, loss is : 2.3024577640872774
batch No.101, time cost : 5.42248010635376, loss is : 2.3025950584068484
batch No.102, time cost : 5.423937082290649, loss is : 2.3028083037682348
batch No.103, time cost : 5.502103328704834, loss is : 2.302601921385164
batch No.104, time cost : 5.789963722229004, loss is : 2.3023461130504783
batch No.105, time cost : 5.371653079986572, loss is : 2.3026107607245336
batch No.106, time cost : 5.399204254150391, loss is : 2.302691746250633
batch No.107, time cost : 5.667876720428467, loss is : 2.3027448421405077
batch No.108, time cost : 5.6926069259643555, loss is : 2.3026751400177066
batch No.109, time cost : 5.483218193054199, loss is : 2.3024362125777085
batch No.110, time cost : 5.357595682144165, loss is : 2.302688876966571
batch No.111, time cost : 5.400239944458008, loss is : 2.302778880941875
batch No.112, time cost : 5.357368469238281, loss is : 2.3027267696648286
batch No.113, time cost : 5.408801078796387, loss is : 2.302413578487676
batch No.114, time cost : 5.357903957366943, loss is : 2.3025866135551514
batch No.115, time cost : 5.363878011703491, loss is : 2.3024624788409174
batch No.116, time cost : 5.333619832992554, loss is : 2.3025271695860594
batch No.117, time cost : 5.372677564620972, loss is : 2.302537410879329
batch No.118, time cost : 5.375112295150757, loss is : 2.302493899860428
batch No.119, time cost : 5.347079277038574, loss is : 2.302338217446265
batch No.120, time cost : 5.329375982284546, loss is : 2.3024601445632342
batch No.121, time cost : 5.38225531578064, loss is : 2.302676186400982
batch No.122, time cost : 5.387929439544678, loss is : 2.302711114133576
batch No.123, time cost : 5.392201662063599, loss is : 2.3024195568801935
batch No.124, time cost : 5.402214050292969, loss is : 2.302747032833314
batch No.125, time cost : 5.619319915771484, loss is : 2.302555975154635
batch No.126, time cost : 5.36257266998291, loss is : 2.302695966628587
batch No.127, time cost : 5.405539274215698, loss is : 2.3027068125378323
batch No.128, time cost : 5.405300855636597, loss is : 2.3026387105447026
batch No.129, time cost : 5.383113384246826, loss is : 2.3026256516448407
batch No.130, time cost : 5.376551628112793, loss is : 2.302581596878931
batch No.131, time cost : 5.330108165740967, loss is : 2.3023997719855394
batch No.132, time cost : 5.380257844924927, loss is : 2.302600536042551
batch No.133, time cost : 5.34114146232605, loss is : 2.302704543935656
batch No.134, time cost : 5.368012428283691, loss is : 2.302450806434659
batch No.135, time cost : 5.358400583267212, loss is : 2.3025958696532722
batch No.136, time cost : 5.34246301651001, loss is : 2.3024826500374225
batch No.137, time cost : 5.372452259063721, loss is : 2.302491218781918
batch No.138, time cost : 5.3636555671691895, loss is : 2.302451895382367
batch No.139, time cost : 5.412552833557129, loss is : 2.3025581144950187
batch No.140, time cost : 5.373831510543823, loss is : 2.302568785550871
batch No.141, time cost : 5.374501705169678, loss is : 2.3026839955676013
batch No.142, time cost : 5.389350652694702, loss is : 2.3023981282970714
batch No.143, time cost : 5.403808116912842, loss is : 2.3027207416730295
batch No.144, time cost : 5.3764564990997314, loss is : 2.302498690758705
batch No.145, time cost : 5.3567214012146, loss is : 2.30250944690171
batch No.146, time cost : 5.345523834228516, loss is : 2.3025985943436256
batch No.147, time cost : 5.3691675662994385, loss is : 2.3024160139974277
batch No.148, time cost : 5.383996486663818, loss is : 2.30273035471761
batch No.149, time cost : 5.33336067199707, loss is : 2.302748470339469
batch No.150, time cost : 5.380815267562866, loss is : 2.3026065074620004
batch No.151, time cost : 5.396618843078613, loss is : 2.3026778891139097
batch No.152, time cost : 5.356339931488037, loss is : 2.3027932299060505
batch No.153, time cost : 5.372121095657349, loss is : 2.3026666379975262
batch No.154, time cost : 5.382798433303833, loss is : 2.302684968034184
batch No.155, time cost : 5.388421058654785, loss is : 2.302576425637378
batch No.156, time cost : 5.381630182266235, loss is : 2.302627925101819
batch No.157, time cost : 5.4695494174957275, loss is : 2.3025369451081494
batch No.158, time cost : 5.393986940383911, loss is : 2.302405585841658
batch No.159, time cost : 5.4913036823272705, loss is : 2.302552320852225
batch No.160, time cost : 5.383968830108643, loss is : 2.3024835465640443
batch No.161, time cost : 5.357048511505127, loss is : 2.302292387553701
batch No.162, time cost : 5.466123580932617, loss is : 2.302691528740375
batch No.163, time cost : 5.407246112823486, loss is : 2.3025232507297555
batch No.164, time cost : 5.37657356262207, loss is : 2.3026423592762253
batch No.165, time cost : 5.40128755569458, loss is : 2.3025084447026005
batch No.166, time cost : 5.389058589935303, loss is : 2.302497883902395
batch No.167, time cost : 5.38838791847229, loss is : 2.3025782543029183
batch No.168, time cost : 5.360098361968994, loss is : 2.3028119660875177
batch No.169, time cost : 5.345654487609863, loss is : 2.3026052467245774
batch No.170, time cost : 5.383970499038696, loss is : 2.302550732282859
batch No.171, time cost : 5.369750022888184, loss is : 2.302660585075331
batch No.172, time cost : 5.362253904342651, loss is : 2.3024147065465286
batch No.173, time cost : 5.358063220977783, loss is : 2.3024687747937236
batch No.174, time cost : 5.337948322296143, loss is : 2.3026857106579266
batch No.175, time cost : 5.362997531890869, loss is : 2.302719493990901
batch No.176, time cost : 5.359524965286255, loss is : 2.30269503453934
batch No.177, time cost : 5.371527671813965, loss is : 2.3025395177173102
batch No.178, time cost : 5.3785483837127686, loss is : 2.3024241161176913
batch No.179, time cost : 5.355802059173584, loss is : 2.3027734510409363
batch No.180, time cost : 5.38138747215271, loss is : 2.3026461516385623
batch No.181, time cost : 5.383591175079346, loss is : 2.302747599076118
batch No.182, time cost : 5.394407510757446, loss is : 2.302739338362646
batch No.183, time cost : 5.37964129447937, loss is : 2.302624629616178
